date,nav,daily_ret,acc_nav
2023-07-13,1.55,1.31,1.55
2023-07-14,1.553,0.19,1.553
2023-07-17,1.543,-0.64,1.543
2023-07-18,1.54,-0.19,1.54
2023-07-19,1.541,0.06,1.541
2023-07-20,1.528,-0.84,1.528
2023-07-21,1.527,-0.07,1.527
2023-07-24,1.528,0.07,1.528
2023-07-25,1.559,2.03,1.559
2023-07-26,1.556,-0.19,1.556
2023-07-27,1.552,-0.26,1.552
2023-07-28,1.583,2.0,1.583
2023-07-31,1.588,0.32,1.588
2023-08-01,1.59,0.13,1.59
2023-08-02,1.575,-0.94,1.575
2023-08-03,1.585,0.63,1.585
2023-08-04,1.589,0.25,1.589
2023-08-07,1.58,-0.57,1.58
2023-08-08,1.578,-0.13,1.578
2023-08-09,1.57,-0.51,1.57
2023-08-10,1.575,0.32,1.575
2023-08-11,1.545,-1.9,1.545
2023-08-14,1.542,-0.19,1.542
2023-08-15,1.54,-0.13,1.54
2023-08-16,1.531,-0.58,1.531
2023-08-17,1.537,0.39,1.537
2023-08-18,1.524,-0.85,1.524
2023-08-21,1.504,-1.31,1.504
2023-08-22,1.517,0.86,1.517
2023-08-23,1.5,-1.12,1.5
2023-08-24,1.504,0.27,1.504
2023-08-25,1.497,-0.47,1.497
2023-08-28,1.511,0.94,1.511
2023-08-29,1.527,1.06,1.527
2023-08-30,1.527,0.0,1.527
2023-08-31,1.518,-0.59,1.518
2023-09-01,1.525,0.46,1.525
2023-09-04,1.542,1.11,1.542
2023-09-05,1.533,-0.58,1.533
2023-09-06,1.535,0.13,1.535
2023-09-07,1.519,-1.04,1.519
2023-09-08,1.518,-0.07,1.518
2023-09-11,1.526,0.53,1.526
2023-09-12,1.526,0.0,1.526
2023-09-13,1.519,-0.46,1.519
2023-09-14,1.523,0.26,1.523
2023-09-15,1.518,-0.33,1.518
2023-09-18,1.524,0.4,1.524
2023-09-19,1.524,0.0,1.524
2023-09-20,1.521,-0.2,1.521
2023-09-21,1.509,-0.79,1.509
2023-09-22,1.531,1.46,1.531
2023-09-25,1.524,-0.46,1.524
2023-09-26,1.518,-0.39,1.518
2023-09-27,1.519,0.07,1.519
2023-09-28,1.519,0.0,1.519
2023-10-09,1.514,-0.33,1.514
2023-10-10,1.502,-0.79,1.502
2023-10-11,1.502,0.0,1.502
2023-10-12,1.514,0.8,1.514
2023-10-13,1.506,-0.53,1.506
2023-10-16,1.501,-0.33,1.501
2023-10-17,1.506,0.33,1.506
2023-10-18,1.494,-0.8,1.494
2023-10-19,1.467,-1.81,1.467
2023-10-20,1.457,-0.68,1.457
2023-10-23,1.441,-1.1,1.441
2023-10-24,1.447,0.42,1.447
2023-10-25,1.455,0.55,1.455
2023-10-26,1.46,0.34,1.46
2023-10-27,1.472,0.82,1.472
2023-10-30,1.474,0.14,1.474
2023-10-31,1.467,-0.47,1.467
2023-11-01,1.47,0.2,1.47
2023-11-02,1.464,-0.41,1.464
2023-11-03,1.474,0.68,1.474
2023-11-06,1.488,0.95,1.488
2023-11-07,1.488,0.0,1.488
2023-11-08,1.483,-0.34,1.483
2023-11-09,1.483,0.0,1.483
2023-11-10,1.477,-0.4,1.477
2023-11-13,1.481,0.27,1.481
2023-11-14,1.488,0.47,1.488
2023-11-15,1.493,0.34,1.493
2023-11-16,1.484,-0.6,1.484
2023-11-17,1.486,0.13,1.486
2023-11-20,1.494,0.54,1.494
2023-11-21,1.494,0.0,1.494
2023-11-22,1.481,-0.87,1.481
2023-11-23,1.489,0.54,1.489
2023-11-24,1.479,-0.67,1.479
2023-11-27,1.475,-0.27,1.475
2023-11-28,1.477,0.14,1.477
2023-11-29,1.469,-0.54,1.469
2023-11-30,1.472,0.2,1.472
2023-12-01,1.472,0.0,1.472
2023-12-04,1.467,-0.34,1.467
2023-12-05,1.443,-1.64,1.443
2023-12-06,1.441,-0.14,1.441
2023-12-07,1.438,-0.21,1.438
2023-12-08,1.44,0.14,1.44
2023-12-11,1.451,0.76,1.451
2023-12-12,1.456,0.34,1.456
2023-12-13,1.441,-1.03,1.441
2023-12-14,1.434,-0.49,1.434
2023-12-15,1.429,-0.35,1.429
2023-12-18,1.424,-0.35,1.424
2023-12-19,1.424,0.0,1.424
2023-12-20,1.412,-0.84,1.412
2023-12-21,1.419,0.5,1.419
2023-12-22,1.417,-0.14,1.417
2023-12-25,1.421,0.28,1.421
2023-12-26,1.414,-0.49,1.414
2023-12-27,1.419,0.35,1.419
2023-12-28,1.439,1.41,1.439
2023-12-29,1.45,0.76,1.45
2023-12-31,1.45,0.0,1.45
2024-01-02,1.442,-0.55,1.442
2024-01-03,1.445,0.21,1.445
2024-01-04,1.438,-0.48,1.438
2024-01-05,1.43,-0.56,1.43
2024-01-08,1.41,-1.4,1.41
2024-01-09,1.413,0.21,1.413
2024-01-10,1.404,-0.64,1.404
2024-01-11,1.408,0.28,1.408
2024-01-12,1.406,-0.14,1.406
2024-01-15,1.408,0.14,1.408
2024-01-16,1.41,0.14,1.41
2024-01-17,1.382,-1.99,1.382
2024-01-18,1.388,0.43,1.388
2024-01-19,1.382,-0.43,1.382
2024-01-22,1.349,-2.39,1.349
2024-01-23,1.354,0.37,1.354
2024-01-24,1.375,1.55,1.375
2024-01-25,1.413,2.76,1.413
2024-01-26,1.417,0.28,1.417
2024-01-29,1.405,-0.85,1.405
2024-01-30,1.381,-1.71,1.381
2024-01-31,1.364,-1.23,1.364
2024-02-01,1.355,-0.66,1.355
2024-02-02,1.338,-1.25,1.338
2024-02-05,1.331,-0.52,1.331
2024-02-06,1.367,2.7,1.367
2024-02-07,1.385,1.32,1.385
2024-02-08,1.402,1.23,1.402
2024-02-19,1.421,1.36,1.421
2024-02-20,1.425,0.28,1.425
2024-02-21,1.44,1.05,1.44
2024-02-22,1.459,1.32,1.459
2024-02-23,1.468,0.62,1.468
2024-02-26,1.451,-1.16,1.451
2024-02-27,1.47,1.31,1.47
2024-02-28,1.442,-1.9,1.442
2024-02-29,1.464,1.53,1.464
2024-03-01,1.47,0.41,1.47
2024-03-04,1.474,0.27,1.474
2024-03-05,1.479,0.34,1.479
2024-03-06,1.475,-0.27,1.475
2024-03-07,1.47,-0.34,1.47
2024-03-08,1.475,0.34,1.475
2024-03-11,1.486,0.75,1.486
2024-03-12,1.481,-0.34,1.481
2024-03-13,1.477,-0.27,1.477
2024-03-14,1.475,-0.14,1.475
2024-03-15,1.483,0.54,1.483
2024-03-18,1.494,0.74,1.494
2024-03-19,1.485,-0.6,1.485
2024-03-20,1.49,0.34,1.49
2024-03-21,1.488,-0.13,1.488
2024-03-22,1.473,-1.01,1.473
2024-03-25,1.464,-0.61,1.464
2024-03-26,1.466,0.14,1.466
2024-03-27,1.449,-1.16,1.449
2024-03-28,1.457,0.55,1.457
2024-03-29,1.472,1.03,1.472
2024-04-01,1.491,1.29,1.491
2024-04-02,1.491,0.0,1.491
2024-04-03,1.489,-0.13,1.489
2024-04-08,1.478,-0.74,1.478
2024-04-09,1.48,0.14,1.48
2024-04-10,1.472,-0.54,1.472
2024-04-11,1.472,0.0,1.472
2024-04-12,1.465,-0.48,1.465
2024-04-15,1.479,0.96,1.479
2024-04-16,1.457,-1.49,1.457
2024-04-17,1.485,1.92,1.485
2024-04-18,1.487,0.13,1.487
2024-04-19,1.481,-0.4,1.481
2024-04-22,1.471,-0.68,1.471
2024-04-23,1.462,-0.61,1.462
2024-04-24,1.471,0.62,1.471
2024-04-25,1.475,0.27,1.475
2024-04-26,1.492,1.15,1.492
2024-04-29,1.503,0.74,1.503
2024-04-30,1.499,-0.27,1.499
2024-05-06,1.512,0.87,1.512
2024-05-07,1.516,0.26,1.516
2024-05-08,1.508,-0.53,1.508
2024-05-09,1.518,0.66,1.518
2024-05-10,1.52,0.13,1.52
2024-05-13,1.514,-0.39,1.514
2024-05-14,1.514,0.0,1.514
2024-05-15,1.501,-0.86,1.501
2024-05-16,1.503,0.13,1.503
2024-05-17,1.516,0.86,1.516
2024-05-20,1.525,0.59,1.525
2024-05-21,1.517,-0.52,1.517
2024-05-22,1.518,0.07,1.518
2024-05-23,1.499,-1.25,1.499
2024-05-24,1.488,-0.73,1.488
2024-05-27,1.502,0.94,1.502
2024-05-28,1.495,-0.47,1.495
2024-05-29,1.495,0.0,1.495
2024-05-30,1.488,-0.47,1.488
2024-05-31,1.486,-0.13,1.486
2024-06-03,1.482,-0.27,1.482
2024-06-04,1.486,0.27,1.486
2024-06-05,1.476,-0.67,1.476
2024-06-06,1.471,-0.34,1.471
2024-06-07,1.474,0.2,1.474
2024-06-11,1.463,-0.75,1.463
2024-06-12,1.469,0.41,1.469
2024-06-13,1.463,-0.41,1.463
2024-06-14,1.467,0.27,1.467
2024-06-17,1.459,-0.55,1.459
2024-06-18,1.465,0.41,1.465
2024-06-19,1.461,-0.27,1.461
2024-06-20,1.454,-0.48,1.454
2024-06-21,1.452,-0.14,1.452
2024-06-24,1.438,-0.96,1.438
2024-06-25,1.432,-0.42,1.432
2024-06-26,1.443,0.77,1.443
2024-06-27,1.434,-0.62,1.434
2024-06-28,1.445,0.77,1.445
2024-06-30,1.445,0.0,1.445
2024-07-01,1.454,0.62,1.454
2024-07-02,1.456,0.14,1.456
2024-07-03,1.448,-0.55,1.448
2024-07-04,1.439,-0.62,1.439
2024-07-05,1.435,-0.28,1.435
2024-07-08,1.426,-0.63,1.426
2024-07-09,1.444,1.26,1.444
2024-07-10,1.435,-0.62,1.435
2024-07-11,1.453,1.25,1.453
2024-07-12,1.453,0.0,1.453
2024-07-15,1.453,0.0,1.453
2024-07-16,1.458,0.34,1.458
2024-07-17,1.453,-0.34,1.453
2024-07-18,1.46,0.48,1.46
2024-07-19,1.462,0.14,1.462
2024-07-22,1.453,-0.62,1.453
2024-07-23,1.429,-1.65,1.429
2024-07-24,1.423,-0.42,1.423
